name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Matteo Pelucchi,BORA - hansgrohe,0,6,0,0,0,0,1,0,0,0,0,0
Pawel Poljanski,BORA - hansgrohe,0,6,0,0,0,0,0,0,0,0,0,1
Lukas Pöstlberger,BORA - hansgrohe,0,6,0,0,0,0,0,0,0,0,0,0
Aleksejs Saramotins,BORA - hansgrohe,0,6,0,0,0,1,0,0,0,0,0,0
Michael Schwarzmann,BORA - hansgrohe,0,6,1,0,0,0,1,0,0,0,0,0
Rüdiger Selig,BORA - hansgrohe,0,6,0,1,1,0,1,1,0,0,0,0
Dimitri Claeys,Cofidis Solutions Crédits,0,6,0,1,1,1,0,0,0,0,0,0
Nicolas Edet,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,0,0
Jesús Herrada,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,0,0
Christophe Laporte,Cofidis Solutions Crédits,40,6,0,1,1,1,0,0,0,0,0,0
Cyril Lemoine,Cofidis Solutions Crédits,0,6,0,1,1,1,1,0,0,0,0,0
Luis Ángel Maté,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,1,1
Daniel Navarro,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,1,1
Anthony Perez,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,0,0
Geoffrey Soupe,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,0,0
Anthony Turgis,Cofidis Solutions Crédits,0,6,0,0,0,0,0,0,0,0,0,0
Mauro Finetto,Delko Marseille Provence KTM,0,6,0,0,0,0,0,0,0,0,1,0
Jeremy Leveau,Delko Marseille Provence KTM,0,6,0,0,0,0,0,0,0,0,0,0
Yannick Martinez,Delko Marseille Provence KTM,0,6,0,0,0,0,0,0,0,0,0,0
Igor Anton,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Stephen Cummings,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Bernhard Eisel,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Amanuel Gebreigzabhier,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Reinardt Janse Van Rensburg,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Louis Meintjes,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Serge Pauwels,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Mark Renshaw,Dimension Data,0,6,0,0,0,0,0,0,0,0,0,0
Jay Robert Thomson,Dimension Data,0,6,1,1,1,1,1,1,0,0,0,0
Scott Thwaites,Dimension Data,0,6,1,1,1,1,1,0,0,0,0,0
Julien Vermote,Dimension Data,0,6,1,1,1,1,1,0,0,0,0,0
Lilian Calmejane,Direct Energie,0,6,0,0,0,0,0,0,0,0,0,0
Damien Gaudin,Direct Energie,0,6,1,0,0,0,0,0,0,0,0,0
Adrien Petit,Direct Energie,0,6,1,0,0,0,0,0,0,0,0,0
