name,team,points,cost,e3-harelbeke,gent-wevelgem,dwars-door-vlaanderen,ronde-van-vlaanderen,scheldeprijs,paris-roubaix,de-brabantse-pijl,amstel-gold-race,la-fleche-wallone,liege-bastogne-liege
Pieter Vanspeybrouck,Wanty - Groupe Gobert,0,6,1,1,1,1,1,0,0,0,0,0
Kenny Dehaes,WB Veranclassic Aqua Protect ,0,6,0,1,1,1,1,0,0,0,0,0
Christophe Masson,WB Veranclassic Aqua Protect ,0,6,0,0,0,0,0,0,0,0,0,0
Matteo Busato,Wilier Triestina - Selle Italia,0,6,0,0,0,0,0,0,0,0,0,0
Jakub Mareczko,Wilier Triestina - Selle Italia,0,6,0,0,0,0,0,0,0,0,0,0
Jacopo Mosca,Wilier Triestina - Selle Italia,60,6,0,0,0,0,0,0,0,0,0,0
Edoardo Zardini,Wilier Triestina - Selle Italia,0,6,0,0,0,0,0,0,0,0,0,0
Eugert Zhupa,Wilier Triestina - Selle Italia,0,6,0,0,0,0,0,0,0,0,0,0
Gediminas Bagdonas,AG2R La Mondiale,0,4,1,1,1,1,0,0,0,0,0,0
François Bidard,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Clément Chevrier,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Benoit Cosnefroy,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Nico Denz,AG2R La Mondiale,0,4,1,0,0,0,0,1,0,0,0,0
Julien Duval,AG2R La Mondiale,0,4,1,1,1,1,0,0,0,0,0,0
Ben Gastauer,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Alexis Gougeard,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Quentin Jauregui,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Aurelien Paret-Peintre,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Nans Peters,AG2R La Mondiale,0,4,0,0,0,0,0,0,0,0,0,0
Shane Archbold,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Matthew Brammeier,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Mark Christian,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Conor Dunne,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Aaron Gate,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Peter Koning,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Daniel Pearson,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Casper Pedersen,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Calvin Watson,Aqua Blue Sport,0,4,0,0,0,0,0,0,0,0,0,0
Zhandos Bizhigitov,Astana Pro Team,0,4,0,0,0,0,1,0,0,0,0,0
Daniil Fominykh,Astana Pro Team,0,4,0,0,0,0,0,0,0,0,0,0
Truls Korsaeth,Astana Pro Team,0,4,1,0,1,1,1,1,0,0,0,0
Bakhtiyar Kozhatayev,Astana Pro Team,0,4,0,0,0,0,0,0,0,0,0,0
Nikita Stalnov,Astana Pro Team,0,4,0,0,0,0,0,0,0,0,0,0
Ruslan Tleubayev,Astana Pro Team,0,4,0,0,0,0,1,0,0,0,0,0
Artyom Zakharov,Astana Pro Team,0,4,0,0,0,0,0,0,0,0,0,0
Valerio Agnoli,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Yukiya Arashiro,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Manuele Boaro,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Grega Bole,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Chun Kai Feng,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Ivan Garcia Cortina,Bahrain Merida Pro Cycling Team,0,4,1,1,0,1,0,0,0,0,0,0
Matej Mohoric,Bahrain Merida Pro Cycling Team,30,4,0,0,0,0,0,0,0,1,0,0
Antonio Nibali,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Domen Novak,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
Mark Padun,Bahrain Merida Pro Cycling Team,0,4,0,0,0,0,0,0,0,0,0,0
David Per,Bahrain Merida Pro Cycling Team,0,4,1,1,1,1,0,0,0,0,0,0
Luka Pibernik,Bahrain Merida Pro Cycling Team,30,4,1,1,1,1,0,0,0,0,0,0
Meiyin Wang,Bahrain Merida Pro Cycling Team,0,4,0,0,1,0,0,0,0,0,0,0
Simone Andreetta,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Enrico Barbin,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Michael Bresciani,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Giovanni Carboni,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Giulio Ciccone,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Mirco Maestri,Bardiani - CSF,60,4,0,0,0,0,0,0,0,0,0,0
Marco Maronese,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Umberto Orsini,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Lorenzo Rota,Bardiani - CSF,60,4,0,0,0,0,0,0,0,0,0,0
Daniel Savini,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Manuel Senni,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Paolo Simion,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Simone Sterbini,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Alessandro Tonelli,Bardiani - CSF,0,4,0,0,0,0,0,0,0,0,0,0
Tom Bohli,BMC Racing Team,0,4,0,0,1,0,0,0,0,0,0,0
Brent Bookwalter,BMC Racing Team,0,4,0,0,0,0,0,0,0,0,0,0
Kilian Frankiny,BMC Racing Team,0,4,0,0,0,0,0,0,0,0,0,0
Joey Rosskopf,BMC Racing Team,0,4,0,0,0,0,0,0,0,0,0,0
Michael Schar,BMC Racing Team,0,4,1,1,0,1,0,0,0,0,0,0
Miles Scotson,BMC Racing Team,0,4,0,0,1,0,0,0,0,0,0,0
Nathan Van Hooydonck,BMC Racing Team,0,4,1,1,0,1,0,0,0,0,0,0
Erik Baška,BORA - hansgrohe,0,4,1,0,0,0,1,0,0,0,0,0
Christoph Pfingsten,BORA - hansgrohe,0,4,1,0,0,0,1,0,0,0,0,0
Juraj Sagan,BORA - hansgrohe,0,4,0,1,1,1,0,0,0,0,0,0
Andreas Schillinger,BORA - hansgrohe,0,4,0,1,0,1,0,0,0,0,0,0
Guillaume Bonnafond,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Rayane Bouhanni,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Loïc Chetout,Cofidis Solutions Crédits,0,4,0,0,0,0,1,0,0,0,0,0
Dorian Godon,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
José Herrada,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Hugo Hofstetter,Cofidis Solutions Crédits,0,4,0,1,1,1,1,0,0,0,0,0
Victor Lafay,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Matthias Le Turnier,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Stephane Rossetto,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Julien Simon,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Daniel Teklehaimanot,Cofidis Solutions Crédits,0,4,0,0,0,0,0,0,0,0,0,0
Jimmy Turgis,Cofidis Solutions Crédits,0,4,0,0,0,0,1,0,0,0,0,0
Bert Van Lerberghe,Cofidis Solutions Crédits,0,4,0,1,1,1,0,0,0,0,0,0
Michael Van Staeyen,Cofidis Solutions Crédits,0,4,0,0,1,0,1,0,0,0,0,0
Kenneth Vanbilsen,Cofidis Solutions Crédits,0,4,0,1,1,1,1,0,0,0,0,0
Romain Combaud,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Lucas De Rossi,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Rémy Di Grégorio,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Julien El Fares,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Delio Fernandez,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Iuri Filosi,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Brenton Jones,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Przemysław Kasperkiewicz,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Ángel Madrazo,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Nikolay Mihaylov,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Javier Moreno,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,1,0
John Anderson Rodriguez,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Evaldas Siskevicius,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Gatis Smukulis,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Julien Trarieux,Delko Marseille Provence KTM,0,4,0,0,0,0,0,0,0,0,0,0
Natnael Berhane,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Scott Davies,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Mekseb Debesay,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Nickolas Dlamini,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Nick Dougall,Dimension Data,0,4,1,1,1,1,1,0,0,0,0,0
Ryan Gibbons,Dimension Data,0,4,1,0,1,1,1,0,0,0,0,0
Jacques Janse Van Rensburg,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Benjamin King,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Merhawi Kudus,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Lachlan Morton,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Ben O`Connor,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Johann Van Zyl,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Jaco Venter,Dimension Data,0,4,0,0,0,0,0,0,0,0,0,0
Thomas Boudat,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Romain Cardis,Direct Energie,0,4,1,0,0,0,0,0,0,0,0,0
Jeremy Cornu,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Jérôme Cousin,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Yohann Gene,Direct Energie,0,4,1,0,0,0,0,0,0,0,0,0
Fabien Grellier,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Jonathan Hivert,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Axel Journiaux,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Bryan Nauleau,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Paul Ourselin,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Alexandre Pichot,Direct Energie,0,4,1,0,0,0,0,0,0,0,0,0
Perrig Quemeneur,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Simon Sellier,Direct Energie,0,4,1,0,0,0,0,0,0,0,0,0
Romain Sicard,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Angelo Tulik,Direct Energie,0,4,0,0,0,0,0,0,0,0,0,0
Nathan Brown,EF Education First-Drapac p/b Cannondale,0,4,0,0,0,0,0,0,0,0,0,0
Julián Cardona,EF Education First-Drapac p/b Cannondale,0,4,0,0,0,0,0,0,0,0,0,0
Kim Magnusson,EF Education First-Drapac p/b Cannondale,0,4,0,0,0,0,1,0,0,0,0,0
Daniel Felipe Martinez,EF Education First-Drapac p/b Cannondale,0,4,0,0,0,0,0,0,0,0,0,0
Thomas Scully,EF Education First-Drapac p/b Cannondale,0,4,1,1,0,1,1,0,0,0,0,0
Franck Bonnamour,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Michael Carbel,Fortuneo - Samsic,0,4,0,0,0,0,1,1,0,0,0,0
Brice Feillu,Fortuneo - Samsic,0,4,0,0,0,0,1,0,0,0,0,0
Armindo Fonseca,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Arnaud Gerard,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Elie Gesbert,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,1,1
Thibault Guernalec,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Benoit Jarrier,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Romain Le Roux,Fortuneo - Samsic,0,4,0,0,0,0,1,0,0,0,0,0
Kevin Ledanois,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Sindre Skjøstad Lunke,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,1,1
Jérémy Maison,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,1
Pierre-Luc Perichon,Fortuneo - Samsic,0,4,0,0,0,0,1,1,0,0,0,0
Laurent Pichon,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Clement Russo,Fortuneo - Samsic,0,4,0,0,0,0,1,0,0,0,0,0
Florian Vachon,Fortuneo - Samsic,0,4,0,0,0,0,0,0,0,0,0,0
Bram Welten,Fortuneo - Samsic,0,4,0,0,0,0,1,0,0,0,0,0
Igor Boev,Gazprom-RusVelo ,0,4,0,0,0,0,0,0,0,0,0,0
Nicolay Cherkasov,Gazprom-RusVelo ,0,4,0,0,0,0,0,0,0,0,0,0
Evgeny Kobernyak,Gazprom-RusVelo ,60,4,0,0,0,0,0,0,0,0,0,0
Stepan Kurianov,Gazprom-RusVelo ,0,4,0,0,0,0,0,0,0,0,0,0
Sergey Lagutin,Gazprom-RusVelo ,0,4,0,0,0,0,0,0,0,0,0,0
Artem Nych,Gazprom-RusVelo ,0,4,0,0,0,0,0,0,0,0,0,0
Aleksandr Vlasov,Gazprom-RusVelo ,0,4,0,0,0,0,0,0,0,0,0,0
Bruno Armirail,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Antoine Duchesne,Groupama - FDJ,0,4,1,0,0,1,0,0,0,0,0,0
Daniel Hoelgaard,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Olivier Le Gac,Groupama - FDJ,10,4,1,1,0,1,0,0,0,0,0,0
Tobias Ludvigsson,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Valentin Madouas,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Georg Preidler,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Romain Seigle,Groupama - FDJ,0,4,0,0,0,0,0,0,0,1,1,1
Benoit Vaugrenard,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Léo Vincent,Groupama - FDJ,0,4,0,0,0,0,0,0,0,0,0,0
Edwin Avila,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
José Manuel Díaz,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Nathan Earle,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Omer Goldstein,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Roy Goldstein,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Luis Lemus,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Guy Niv,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Ben Perry,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Guy Sagiv,Israel Cycling Academy,60,4,0,0,0,0,0,0,0,0,0,0
Hamish Schreurs,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Daniel Turek,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Dennis Van Winden,Israel Cycling Academy,60,4,0,0,0,0,0,0,0,0,0,0
Tyler Williams,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Aviv Yechezkel,Israel Cycling Academy,0,4,0,0,0,0,0,0,0,0,0,0
Sander Armée,Lotto Soudal,0,4,0,0,0,0,0,0,0,0,0,0
Frederik Frison,Lotto Soudal,0,4,0,1,1,0,1,0,0,0,0,0
Tomasz Marczynski,Lotto Soudal,0,4,0,0,0,0,0,0,0,0,0,0
Remy Mertz,Lotto Soudal,0,4,0,0,0,0,0,0,0,0,0,0
Lawrence Naesen,Lotto Soudal,0,4,1,0,0,0,0,0,0,0,0,0
James Shaw,Lotto Soudal,0,4,0,0,0,0,0,0,0,0,0,0
Harm Vanhoucke,Lotto Soudal,0,4,0,0,0,0,0,0,0,0,0,0
Enzo Wouters,Lotto Soudal,0,4,0,0,0,0,0,0,0,0,0,0
Sam Bewley,Mitchelton-Scott,20,4,0,0,0,0,0,0,0,0,0,0
Alexander Edmondson,Mitchelton-Scott,0,4,1,1,1,1,0,0,0,0,0,0
Jack Haig,Mitchelton-Scott,0,4,0,0,0,0,0,0,0,0,0,0
Lucas Hamilton,Mitchelton-Scott,0,4,0,0,0,0,0,0,0,0,0,0
Michael Hepburn,Mitchelton-Scott,0,4,1,1,1,1,0,0,0,0,0,0
Damien Howson,Mitchelton-Scott,0,4,0,0,0,0,0,0,0,0,0,0
Cameron Meyer,Mitchelton-Scott,0,4,0,0,0,0,0,0,0,0,0,0
Robert Power,Mitchelton-Scott,0,4,0,0,0,0,0,0,0,0,0,0
Carlos Verona,Mitchelton-Scott,0,4,0,0,0,0,0,0,0,0,0,0
Winner Anacona,Movistar Team,0,4,0,0,0,0,0,0,0,0,0,0
Jorge Arcas,Movistar Team,0,4,1,1,0,0,0,0,0,0,0,0
Carlos Barbero,Movistar Team,0,4,1,1,0,0,0,0,0,0,0,0
Nuno Bico,Movistar Team,0,4,1,1,0,1,0,0,0,0,0,0
Richard Carapaz,Movistar Team,0,4,0,0,0,1,0,0,0,0,0,0
Héctor Carretero,Movistar Team,0,4,1,1,0,0,0,0,0,0,0,0
Jaime Castrillo,Movistar Team,0,4,0,0,0,0,0,0,0,0,0,0
Antonio Pedrero,Movistar Team,0,4,0,0,0,0,0,0,0,0,0,0
Dayer Quintana,Movistar Team,0,4,0,0,0,0,0,0,0,0,0,0
Jaime Roson,Movistar Team,0,4,0,0,0,0,0,0,0,0,0,0
Jasha Sütterlin,Movistar Team,0,4,1,1,0,1,0,0,0,0,0,0
Nicola Bagioli,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Joan Bou,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Damiano Cima,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Imerio Cima,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Eduard Michael Grosu,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,1,0,0
Sho Hatsuyama,Nippo - Vini Fantini,60,4,0,0,0,0,0,0,0,0,0,0
Masakazu Ito,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Marino Kobayashi,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Alan Marangoni,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Hideto Nakane,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Hiroki Nishimura,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Simone Ponzi,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Ivan Santaromita,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Marco Tizza,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Kohei Uchima,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Hayato Yoshida,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Filippo Zaccanti,Nippo - Vini Fantini,0,4,0,0,0,0,0,0,0,0,0,0
Eros Capecchi,Quick-Step Floors,0,4,0,0,0,0,0,0,0,0,0,0
Rémi Cavagna,Quick-Step Floors,0,4,0,0,0,0,0,0,0,0,0,0
Álvaro José Hodeg,Quick-Step Floors,0,4,0,0,0,0,0,0,0,0,0,0
James Knox,Quick-Step Floors,0,4,0,0,0,0,0,0,0,0,0,0
Michael Mørkøv,Quick-Step Floors,0,4,0,0,0,0,0,0,0,0,0,0
Maximilian Schachmann,Quick-Step Floors,0,4,0,0,0,0,0,0,0,0,0,0
Martijn Budding,Roompot - Nederlandse Loterij,0,4,1,1,0,0,0,0,0,0,0,0
Robbert De Greef,Roompot - Nederlandse Loterij,0,4,0,0,0,0,0,0,0,0,0,0
Jeroen Meijers,Roompot - Nederlandse Loterij,0,4,0,0,0,0,0,0,0,0,0,0
Elmar Reinders,Roompot - Nederlandse Loterij,0,4,1,1,0,1,1,0,0,0,0,0
Oscar Riesebeek,Roompot - Nederlandse Loterij,0,4,0,0,0,0,0,0,0,0,0,0
Taco Van Der Hoorn,Roompot - Nederlandse Loterij,0,4,0,0,0,0,1,0,0,0,0,0
Nick Van Der Lijke,Roompot - Nederlandse Loterij,0,4,0,0,0,0,0,0,0,0,0,0
Etienne Van Empel,Roompot - Nederlandse Loterij,0,4,0,0,0,0,0,0,0,0,0,0
Sjoerd Van Ginneken,Roompot - Nederlandse Loterij,0,4,1,0,0,1,0,0,0,0,0,0
Brian Van Goethem,Roompot - Nederlandse Loterij,0,4,1,1,0,1,1,0,0,0,0,0
Jan-Willem Van Schip,Roompot - Nederlandse Loterij,0,4,0,0,0,0,0,0,0,0,0,0
Coen Vermeltfoort,Roompot - Nederlandse Loterij,0,4,0,1,0,0,1,0,0,0,0,0
Piet Allegaert,Sport Vlaanderen - Baloise,0,4,1,0,1,1,0,0,0,0,0,0
Amaury Capiot,Sport Vlaanderen - Baloise,0,4,0,1,0,1,1,0,0,0,0,0
Aime De Gendt,Sport Vlaanderen - Baloise,0,4,1,0,1,1,0,0,0,0,0,0
Kenny De Ketele,Sport Vlaanderen - Baloise,0,4,0,0,0,0,0,0,0,0,0,0
Moreno De Pauw,Sport Vlaanderen - Baloise,0,4,0,0,0,0,0,0,0,0,0,0
Lindsay De Vylder,Sport Vlaanderen - Baloise,0,4,0,0,0,0,0,0,0,0,0,0
Benjamin Declercq,Sport Vlaanderen - Baloise,0,4,1,0,0,1,0,0,0,0,0,0
Kevin Deltombe,Sport Vlaanderen - Baloise,0,4,1,0,0,0,0,0,0,0,0,0
Maxime Farazijn,Sport Vlaanderen - Baloise,0,4,1,0,1,0,1,0,0,0,0,0
Robbe Ghys,Sport Vlaanderen - Baloise,0,4,0,0,0,0,0,0,0,0,0,0
Milan Menten,Sport Vlaanderen - Baloise,0,4,0,0,1,0,1,0,0,0,0,0
Christophe Noppe,Sport Vlaanderen - Baloise,0,4,0,1,1,0,0,0,0,0,0,0
Emiel Planckaert,Sport Vlaanderen - Baloise,0,4,0,0,0,0,0,0,0,0,0,0
Jonas Rickaert,Sport Vlaanderen - Baloise,0,4,1,0,1,1,1,0,0,0,0,0
Thomas Sprengers,Sport Vlaanderen - Baloise,0,4,1,0,0,0,0,0,0,0,0,0
Dries Van Gestel,Sport Vlaanderen - Baloise,0,4,0,1,0,0,0,0,0,0,0,0
Mathias Van Gompel,Sport Vlaanderen - Baloise,0,4,0,0,0,0,0,0,0,0,0,0
Kenneth Van Rooy,Sport Vlaanderen - Baloise,0,4,0,1,0,0,1,0,0,0,0,0
Aaron Verwilst,Sport Vlaanderen - Baloise,0,4,0,0,1,0,0,0,0,0,0,0
Jordi Warlop,Sport Vlaanderen - Baloise,0,4,0,1,0,0,1,0,0,0,0,0
Maxim Belkov,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,0,0
Jenthe Biermans,Team Katusha - Alpecin,0,4,0,1,1,1,1,0,0,0,0,0
Ian Boswell,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,1,1
Steff Cras,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,1,1,0
Alex Dowsett,Team Katusha - Alpecin,0,4,0,1,1,0,0,0,0,0,0,0
Matteo Fabbro,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,0,0
Marco Haller,Team Katusha - Alpecin,0,4,1,1,0,1,1,0,0,0,0,0
Pavel Kochetkov,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,0,0
Tiago Machado,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,0,0
Marco Mathis,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,0,0
Nils Politt,Team Katusha - Alpecin,0,4,1,0,1,1,1,0,0,0,0,0
Jhonatan Restrepo,Team Katusha - Alpecin,0,4,0,0,0,0,0,0,0,0,0,0
Koen Bouwman,Team LottoNL-Jumbo,0,4,0,0,0,0,0,0,0,0,0,0
Pascal Eenkhoorn,Team LottoNL-Jumbo,0,4,0,0,0,0,0,0,0,0,0,0
Amund Grondahl Jansen,Team LottoNL-Jumbo,0,4,1,0,1,1,0,1,0,0,0,0
Tom Leezer,Team LottoNL-Jumbo,0,4,0,1,1,1,1,0,0,0,0,0
Paul Martens,Team LottoNL-Jumbo,0,4,0,0,0,0,0,0,0,1,1,1
Daan Olivier,Team LottoNL-Jumbo,0,4,0,0,0,0,0,0,0,0,1,0
Timo Roosen,Team LottoNL-Jumbo,0,4,1,1,0,1,1,0,0,0,0,0
Bram Tankink,Team LottoNL-Jumbo,0,4,0,0,1,1,1,1,0,1,0,0
Antwan Tolhoek,Team LottoNL-Jumbo,0,4,0,0,0,0,0,0,0,1,1,1
Jos Van Emden,Team LottoNL-Jumbo,0,4,1,1,0,1,0,0,0,0,0,0
Robert Wagner,Team LottoNL-Jumbo,0,4,0,0,1,0,0,0,0,0,0,0
Sam Brand,Team Novo Nordisk,0,4,0,0,0,0,0,0,0,0,0,0
Joonas Henttala,Team Novo Nordisk,0,4,0,0,0,0,0,0,0,0,0,0
Brian Kamstra,Team Novo Nordisk,0,4,0,0,0,0,0,0,0,0,0,0
David Lozano,Team Novo Nordisk,0,4,0,0,0,0,0,0,0,0,0,0
Andrea Peron,Team Novo Nordisk,0,4,0,0,0,0,0,0,0,0,0,0
Charles Planet,Team Novo Nordisk,60,4,0,0,0,0,0,0,0,0,0,0
Umberto Poli,Team Novo Nordisk,0,4,0,0,0,0,0,0,0,0,0,0
Leonardo Basso,Team Sky,0,4,0,0,0,0,0,0,0,0,0,0
Egan Arley Bernal,Team Sky,0,4,0,0,0,0,0,0,0,0,0,1
Philip Deignan,Team Sky,0,4,0,0,0,0,0,0,0,0,0,0
Jonathan Dibben,Team Sky,0,4,0,0,1,0,0,0,0,0,0,0
Owain Doull,Team Sky,0,4,1,1,0,1,0,0,0,0,0,0
Søren Kragh Andersen,Team Sunweb,0,4,1,0,1,1,1,0,0,0,0,0
Roy Curvers,Team Sunweb,0,4,1,1,1,1,1,0,0,0,0,0
Johannes Fröhlinger,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,1
Chad Haga,Team Sunweb,0,4,0,0,0,0,0,0,0,0,0,0
